,subject_id_within_expert_type,trial_nr,block_nr,instr_type,trial_type,catch_trial,batch,layer,kernel_size,channel,query_order,correct,conf_rating,RT,timeout,response,correct_response,query_image_a,query_image_b,old_trial_nr,old_block_nr,seed,unit_name,abs_conf_rating,subject_id
76,5,76,7,optimized,main,False,7,layer_3,3,channel_1,max_min,True,-3,1.800912857055664,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_3/kernel_size_3/channel_1/natural_images/batch_7/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_3/kernel_size_3/channel_1/natural_images/batch_7/min_0.png,,,42,"4b, P int.",3,5
77,5,77,7,optimized,main,True,0,layer_w,w,channel_w,min_max,True,3,1.0669789314270022,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_w/kernel_size_w/channel_w/optimized_images/min_7.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_w/kernel_size_w/channel_w/optimized_images/max_2.png,,,42,"layer_w, w ",3,5
78,5,78,7,optimized,main,False,7,layer_0,2,channel_0,max_min,True,-1,7.466266870498657,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_0/kernel_size_2/channel_0/natural_images/batch_7/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_0/kernel_size_2/channel_0/natural_images/batch_7/min_0.png,,,42,"3a, 5x5 ",1,5
79,5,79,7,optimized,main,False,7,layer_2,1,channel_0,max_min,False,2,10.948493957519533,False,b,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_2/kernel_size_1/channel_0/natural_images/batch_7/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_2/kernel_size_1/channel_0/natural_images/batch_7/min_0.png,,,42,"4a, 3x3 ",2,5
80,5,80,7,optimized,main,True,0,layer_n,n,channel_n,min_max,True,3,2.431994915008545,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_n/kernel_size_n/channel_n/optimized_images/min_6.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_n/kernel_size_n/channel_n/optimized_images/max_8.png,,,42,"layer_n, n ",3,5
81,5,81,7,optimized,main,False,7,layer_7,3,channel_1,max_min,True,-3,1.5053906440734863,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_7/kernel_size_3/channel_1/natural_images/batch_7/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_7/kernel_size_3/channel_1/natural_images/batch_7/min_0.png,,,42,"5a, P int.",3,5
82,5,82,7,optimized,main,False,7,layer_6,2,channel_0,min_max,True,3,4.447124719619751,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_6/kernel_size_2/channel_0/natural_images/batch_7/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_6/kernel_size_2/channel_0/natural_images/batch_7/max_9.png,,,42,"4e, 5x5 ",3,5
83,5,83,7,optimized,main,False,7,layer_7,0,channel_0,max_min,True,-3,1.6298017501831057,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_7/kernel_size_0/channel_0/natural_images/batch_7/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_7/kernel_size_0/channel_0/natural_images/batch_7/min_0.png,,,42,"5a, 1x1 ",3,5
84,5,84,7,optimized,main,False,7,layer_3,2,channel_0,max_min,True,-2,4.089840888977052,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_3/kernel_size_2/channel_0/natural_images/batch_7/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_3/kernel_size_2/channel_0/natural_images/batch_7/min_0.png,,,42,"4b, 5x5 ",2,5
85,5,85,7,optimized,main,False,7,layer_5,2,channel_0,min_max,False,-2,15.787277936935425,False,a,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_5/kernel_size_2/channel_0/natural_images/batch_7/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_5/kernel_size_2/channel_0/natural_images/batch_7/max_9.png,,,42,"4d, 5x5 ",2,5
86,5,86,7,optimized,main,False,7,layer_7,1,channel_0,min_max,True,3,3.4663300514221187,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_7/kernel_size_1/channel_0/natural_images/batch_7/min_0.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_7/kernel_size_1/channel_0/natural_images/batch_7/max_9.png,,,42,"5a, 3x3 ",3,5
87,5,87,7,optimized,main,False,7,layer_8,0,channel_0,max_min,True,-2,5.579927921295166,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_8/kernel_size_0/channel_0/natural_images/batch_7/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_8/kernel_size_0/channel_0/natural_images/batch_7/min_0.png,,,42,"5b, 1x1 ",2,5
88,5,88,7,optimized,main,True,0,layer_v,v,channel_v,min_max,True,2,4.1931817531585684,False,b,b,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_v/kernel_size_v/channel_v/optimized_images/min_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_v/kernel_size_v/channel_v/optimized_images/max_0.png,,,42,"layer_v, v ",2,5
89,5,89,7,optimized,main,False,7,layer_5,3,channel_0,max_min,True,-3,4.364789962768556,False,a,a,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_5/kernel_size_3/channel_0/natural_images/batch_7/max_9.png,../stimuli_August_2020_20_batches/channel/sampled_trials/layer_5/kernel_size_3/channel_0/natural_images/batch_7/min_0.png,,,42,"4d, P ",3,5
